
2025/04/05 (22:09:46) | ===> btop++ v.1.4.0
2025/04/05 (22:09:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/05 (22:09:46) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/04/05 (22:09:46) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/04/05 (23:03:32) | ===> btop++ v.1.4.0
2025/04/05 (23:03:32) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/05 (23:03:32) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/04/05 (23:03:32) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/04/05 (23:06:34) | ===> btop++ v.1.4.0
2025/04/05 (23:06:34) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/05 (23:06:34) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/04/05 (23:06:35) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/04/05 (23:17:49) | ===> btop++ v.1.4.0
2025/04/05 (23:17:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/05 (23:17:49) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/04/05 (23:17:49) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/04/05 (23:18:51) | ===> btop++ v.1.4.0
2025/04/05 (23:18:51) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/05 (23:18:51) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/04/05 (23:18:51) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/04/06 (09:44:10) | ===> btop++ v.1.4.0
2025/04/06 (09:44:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/06 (09:44:10) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/04/06 (09:44:10) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...
2025/04/06 (09:44:11) | WARNING: Failed to get disk/partition stats for mount "/smb/backup" with statvfs error code: 19. Ignoring...
2025/04/06 (09:44:11) | WARNING: Failed to get disk/partition stats for mount "/smb/alan" with statvfs error code: 19. Ignoring...

2025/04/06 (11:06:57) | ===> btop++ v.1.4.0
2025/04/06 (11:06:57) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/06 (11:06:57) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/04/06 (11:06:57) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...
2025/04/06 (11:06:58) | WARNING: Failed to get disk/partition stats for mount "/smb/backup" with statvfs error code: 19. Ignoring...
2025/04/06 (11:06:58) | WARNING: Failed to get disk/partition stats for mount "/smb/alan" with statvfs error code: 19. Ignoring...
